Place_Name,Description,Location,Adventure,Relax,Rural,Urban,Mountain,Historical,Food,Nature
Tra Su Melaleuca Forest,The most beautiful and famous Melaleuca forest in Vietnam,An Giang,0,0,0,0,0,0,0,1
Ho Soai So,The largest artificial lake in An Giang,An Giang,0,0,0,0,0,0,0,1
Lau Pagoda,It is a temple with a history of more than 130 years,An Giang,0,1,0,0,0,1,0,0
Ba Chua Xu Temple,Ba Chua Xu Temple is one of the most famous spiritual places in An Giang,An Giang,0,1,0,0,0,0,0,0
Truc Lam Zen Monastery,It is an extremely attractive spiritual and tourist destination in the West,An Giang,0,0,0,0,0,0,0,0
Dinh Mountain Vung Tau,"Dinh Mountain stands out with steep cliffs, creating a majestic natural picture",Ba Ria - Vung Tau,0,0,0,0,1,0,0,0
Back Beach,Back Beach is known as one of the largest and most beautiful beaches in Vietnam,Ba Ria - Vung Tau,0,1,0,0,0,0,0,0
Ho Tram,It is one of the most beautiful beaches in the Southern region,Ba Ria - Vung Tau,0,1,0,0,0,0,0,0
Suoi Oh,"This place is famous for its rare beauty, with both freshwater springs and saltwater beaches blending together in the same area.",Ba Ria - Vung Tau,0,1,0,0,0,0,0,1
Con Dao Vung Tau,"An archipelago famous for its pristine natural beauty, but also rich in history with relics associated with the war period.",Ba Ria - Vung Tau,0,0,0,0,0,1,0,0
Bo Da ancient pagoda,It is one of the most famous and unique ancient pagodas in the Kinh Bac region,Bac Giang,0,1,0,0,0,1,0,0
Thum Thum Waterfall,It is a wild and beautiful destination in the heart of nature,Bac Giang,0,0,0,0,0,0,0,1
Cam Son Lake,It is one of the largest freshwater lakes in Northern Vietnam,Bac Giang,0,0,0,0,0,0,0,1
Trung Temple,This is one of the three main temples worshiping the Hung Kings and is associated with the Vietnamese nation's founding legend,Bac Giang,0,1,0,0,0,0,0,0
Ho Khuon Than,It is an ideal destination with poetic natural beauty and fresh air,Bac Giang,0,0,0,0,0,0,0,0
Ba Be Lake,Ba Be Lake is the largest freshwater lake in Vietnam,Bac Kan,0,0,0,0,0,0,0,1
Puong Cave,It is a beautiful cave with magnificent stalactites,Bac Kan,1,0,0,0,0,0,0,0
Dau Dang Waterfall,This is an ideal eco-tourism destination.,Bac Kan,0,0,0,0,0,0,0,1
Pac Ngoi village,"This is a village of the Tay people, outstanding with its traditional culture",Bac Kan,0,0,1,0,0,0,0,0
Fairy Cave,"This is a magnificent cave with stalactites of diverse shapes, associated with the legend of a beautiful fairy.",Bac Kan,1,0,0,0,0,0,0,0
Quan De Pagoda,"It is an ancient temple, worshiping Quan Cong - a famous general in Chinese history",Bac Lieu,0,1,0,0,0,1,0,0
Bac Lieu Beach,Bac Lieu Beach has a long coastline and is a wonderful tourist resort destination in the Southwest region,Bac Lieu,0,1,0,0,0,0,0,0
Ancient Mango Tree,"This is an old mango tree, considered a symbol of longevity and prosperity.",Bac Lieu,0,0,0,0,0,1,0,0
Bac Lieu Prince's House,"This house used to be the residence of the Prince of Bac Lieu, a famous figure in history.",Bac Lieu,0,0,0,0,0,1,0,0
Thai Duong Clock,"Thai Duong Clock is a special architectural work in Hanoi, carrying symbolic meanings of time and the universe.",Bac Lieu,0,0,0,0,0,0,0,0
Phat Tich Temple,"This is one of the ancient temples, associated with the history of Vietnamese Buddhism.",Bac Ninh,0,1,0,0,0,1,0,0
But Thap Pagoda,"But Thap Pagoda located in Bac Ninh, is a famous pagoda with unique architecture and Guanyin Buddha statue.",Bac Ninh,0,1,0,0,0,0,0,0
Dong Ho painting village,"Dong Ho Painting Village in Bac Ninh is a famous place for producing folk paintings, with paintings reflecting Vietnamese rural life.",Bac Ninh,0,0,1,0,0,0,0,0
Temple of Lady Kho,"Ba Chua Kho Temple in Bac Ninh is a place to worship Ba Chua Kho, one of the most sacred worshiped deities in Vietnam.",Bac Ninh,0,1,0,0,0,0,0,0
Ninh Hiep Market,"Ninh Hiep Market is one of the most famous markets in the North, specializing in trading fabric and clothing items.",Bac Ninh,0,0,0,1,0,0,1,0
Con Phung tourist area,"Con Phung is located in Ben Tre, notable for its lush river scenery, coconut gardens and eco-tourism activities.",Ben Tre,0,0,0,0,0,0,0,0
Nguyen Dinh Chieu's mausoleum area,Nguyen Dinh Chieu's mausoleum in Ben Tre is the resting place of the famous poet and writer.,Ben Tre,0,0,0,0,0,0,0,0
Tuyen Linh Pagoda,Tuyen Linh Pagoda in Quang Ninh is a famous pagoda with peaceful landscape and unique architecture.,Ben Tre,0,1,0,0,0,0,0,1
Roman Church,"The Roman Church in Hanoi is a Western architectural work, outstanding with its characteristic Gothic style.",Ben Tre,0,0,1,0,0,0,0,0
Ba Ngoi garden eco-tourism area,"It is a prominent eco-tourism area in Ben Tre, attracting tourists with its green space, pristine nature and attractive entertainment activities.",Ben Tre,0,1,0,0,0,0,0,0
Quy Nhon beach,"Quy Nhon beach is one of the beautiful beaches of the Central region, famous for its fine white sand and clear blue sea water.",Binh Dinh,0,1,0,0,0,0,0,0
Bien Ky Co,"Ky Co Beach belongs to Quy Nhon, famous for its pristine beach, clear blue water and beautiful coral reefs",Binh Dinh,0,1,0,0,0,0,0,0
Cu Lao Xanh,"Cu Lao Xanh is a beautiful and pristine island in Binh Dinh, with clear blue water and nature that has not been exploited much.",Binh Dinh,0,0,0,0,0,0,0,0
Dam Thi Nai,"Thi Nai Lagoon in Binh Dinh is one of the largest lagoons in the Central region, standing out with its quiet natural scenery",Binh Dinh,0,1,0,0,0,0,0,0
Hon Kho,"Hon Kho is a small island located near Quy Nhon, famous for its beautiful beaches and clear water, attracting tourists to visit and swim.",Binh Dinh,0,1,0,1,0,0,0,0
Tibetan Temple,"Tibetan Temple is a famous temple in Binh Duong, attracting tourists with its unique architecture and pure space.",Binh Duong,0,1,0,0,0,0,0,0
Dai Nam tourist area,"Dai Nam tourist area is a complex including parks, amusement parks, and other attractions, prominent in Binh Duong, attracting many tourists to visit and entertain.",Binh Duong,1,0,0,0,0,0,0,0
Dau Tieng Lake,"Dau Tieng Lake is the largest artificial lake in Binh Duong, famous for its pristine natural landscape and is an ideal place for fishing and yachting activities.",Binh Duong,0,0,0,0,0,0,0,1
Binh Duong New City Park,"Binh Duong New City Park is a green space, an ideal place for sports activities, walking and relaxation.",Binh Duong,1,1,0,1,0,0,0,0
Chau Thoi Pagoda,"Chau Thoi Pagoda is a famous pagoda in Binh Duong, imbued with Buddhist culture and a peaceful setting, suitable for spiritual sightseeing activities.",Binh Duong,0,1,0,0,0,0,0,0
Ba Ra Mountain,"The highest mountain in Binh Phuoc, there is a cable car leading to the top",Binh Phuoc,0,0,0,0,1,0,0,0
Bu Lach grassland,"A large, green grassland, surrounded by primeval forests and lakes",Binh Phuoc,0,0,0,0,0,0,0,1
Ta Thiet relic area,"The place preserves many historical marks of the Vietnam War, with relics such as command bunkers and military warehouses",Binh Phuoc,0,0,0,0,0,1,0,0
Thac Mo Lake,Large artificial lake with beautiful natural landscape,Binh Phuoc,0,0,0,0,0,0,0,1
Binh Phuoc cashew craft village,"Binh Phuoc is famous as the cashew capital, where visitors can visit traditional cashew processing villages and learn about the production process.",Binh Phuoc,0,0,1,0,0,0,0,0
Poshanu Cham Tower,"Ancient architectural works of the Cham people, with unique historical and cultural value",Binh Thuan,0,0,0,1,0,1,0,0
Ke Ga Lighthouse,"One of the oldest lighthouses in Vietnam, located on a small island in the middle of the sea",Binh Thuan,0,0,0,1,0,0,0,0
Bau Trang,"Large freshwater lake in the middle of white sand, also known as the ""sub-Saharan desert"" of Vietnam.",Binh Thuan,0,0,0,0,0,0,0,1
Mui Ne Fishing Village,"Traditional coastal fishing village area, where you can admire the bustling boats and experience buying fresh seafood directly from fishermen.",Binh Thuan,0,0,1,0,0,0,1,0
Hon Rom,"The beach is famous for its clear blue water, long smooth sand and peaceful atmosphere",Binh Thuan,0,1,0,0,0,0,0,0
Ca Mau Cape,"The southernmost point of Vietnam, home to a national landmark symbol and a unique mangrove ecosystem",Ca Mau,0,0,0,0,0,0,0,1
U Minh Ha National Park,The flooded Melaleuca forest is famous for its diverse ecosystem. This is the habitat of many rare species of animals and plants,Ca Mau,1,0,0,0,0,0,0,1
Silver Stone,"The island cluster is located close to the coast, featuring naturally stacked rocks and a rich marine ecosystem",Ca Mau,0,0,0,0,0,0,0,1
Dam Thi Tuong,"Dubbed the ""sea and lake in the middle of the plain"", this is the largest natural lagoon in the West",Ca Mau,0,0,0,0,0,0,0,1
Uncle Ho Temple,"Important spiritual place, where Ca Mau people pay their respects to President Ho Chi Minh",Ca Mau,0,1,0,0,0,0,0,0
Cai Rang Floating Market,"The largest and most famous floating market in the Southwest region, a bustling trading place on the river. Visitors can experience river culture, shop for specialties and enjoy cuisine on the boat.",Can Tho,0,0,0,1,0,0,1,0
Can Tho Bridge,"The largest cable-stayed bridge in Southeast Asia, connecting Can Tho and Vinh Long. This is a famous and iconic check-in point of the Southwest region.",Can Tho,0,0,0,1,0,0,0,0
Ong De Ecotourism Village,"Attractive destination with green landscape, folk games, boating, and enjoying Western specialties.",Can Tho,0,0,1,0,0,0,0,1
Ong Pagoda,"The ancient temple has Chinese architecture, is famous for its sacredness and is the place to worship Quan Cong. This is a unique cultural sightseeing and beautiful check-in location.",Can Tho,0,1,0,0,0,1,0,0
Con Son,"Famous river ecological area, where visitors can visit raft fishing villages, learn to make folk cakes and experience the garden lifestyle.",Can Tho,0,0,1,0,0,0,0,0
Ban Gioc Waterfall,"One of the most beautiful and largest waterfalls in Southeast Asia, located on the Vietnam - China border. The waterfall is divided into many levels with clear blue water, creating a majestic scene.",Cao Bang,0,0,0,0,0,0,0,1
Nguom Ngao Cave,"The cave is more than 2.1km long, featuring a unique stalactite system and magical landscape. The cave is located near Ban Gioc waterfall, which is an ideal destination to explore.",Cao Bang,1,0,0,0,0,0,0,1
Magic Eye Mountain,"The unique mountain with a large hole in the middle, is called ""God's Eye."" This is a famous check-in point with beautiful mountain views.",Cao Bang,0,0,0,0,1,0,0,0
Tran Hung Dao forest relic,"Place where the Vietnam Liberation Army Propaganda Team was founded in 1944, the origin of the Vietnam People's Army. The relic site has great historical value.",Cao Bang,0,0,0,0,0,1,0,1
Phuc Sen forging village,The traditional craft village is famous for its high quality cutlery products. Visitors can tour the blacksmithing process and shop for handmade products.,Cao Bang,0,0,1,0,0,0,0,0
Ba Na Hills,"A mountaintop resort with a cool climate, famous for its unique Golden Bridge, classic French village and Fantasy Park indoor amusement park.",Da Nang,1,1,1,1,1,0,0,0
Dragon Bridge,"A symbol of Da Nang city, the bridge has a dragon design that breathes fire and water on weekends. This is a check-in point and a beautiful view of the Han River.",Da Nang,0,0,0,1,0,0,0,0
Ngu Hanh Son,"Limestone mountain cluster includes 5 mountains with caves, pagodas, and beautiful natural scenery. Highlights are Huyen Khong cave and Tam Thai pagoda.",Da Nang,1,1,0,0,1,0,0,0
My Khe Beach,"One of the most beautiful beaches on the planet, famous for its fine white sand and clear blue sea, an ideal place for swimming and water sports activities.",Da Nang,0,1,0,0,0,0,0,0
Love Bridge,"A small bridge on the Han River with a romantic design, where couples often hang love keychains. From here, you can see the Dragon Carp statue.",Da Nang,0,0,0,1,0,0,0,0
Ao Ba braised,"Ba Om Pond is a natural lake, surrounded by hundreds of years old trees with roots emerging into interesting shapes. This is a peaceful tourist destination, associated with Khmer legends and culture.",Tra Vinh,0,1,0,0,0,0,0,1
Hang Pagoda,Hang Pagoda is famous not only for its unique architecture but also for its exquisite wood sculptures by Khmer artisans. This temple is an ideal stop for those who want to explore Khmer art and culture.,Tra Vinh,0,1,0,0,0,0,0,0
Ba Dong Beach,"Pristine beach with fine sand and gentle waves, Ba Dong is a suitable place to relax and enjoy fresh seafood dishes. This is one of the rare beaches in the Southwest region.",Tra Vinh,0,1,0,0,0,0,1,0
Khmer Culture Museum,"The museum displays artifacts and documents about the life, culture, art and history of the Southern Khmer people, helping visitors understand more about this ethnic community.",Tra Vinh,0,0,0,1,0,1,0,0
Vam Ray Pagoda,"As the largest Khmer pagoda in Vietnam, Vam Ray Pagoda impresses with its brilliant golden architecture, giant reclining Buddha statue and quiet space.",Tra Vinh,0,1,0,0,0,0,0,0
Ban Ba ​​Waterfall,"Ban Ba ​​Waterfall in Trung Ha commune, Chiem Hoa district, is a cluster of waterfalls with 3 main levels falling from a height of about 40 m. The waterfall is surrounded by pristine forests, clear blue water and cool climate all year round. This is the ideal destination to immerse yourself in nature.",Tuyen Quang,0,0,0,0,0,0,0,1
Tuyen Quang Hydroelectric Lake,"Na Hang Lake is likened to ""Ha Long in the mountains"", featuring a clear blue lake surface, rolling limestone islands, and surrounding primeval forests. Visitors can explore landmarks such as Khuoi Nhi waterfall, Pac Ta temple, and join a sightseeing cruise.",Tuyen Quang,0,1,0,0,1,0,0,1
Lower Temple - Upper Temple - Y La Temple,"These are three sacred temples in Tuyen Quang city, associated with the Vietnamese belief in Mother Goddess worship. The temples are famous for their ancient architecture and solemn space, attracting many pilgrims.",Tuyen Quang,0,1,0,1,0,1,0,0
My Lam mineral spring,"My Lam mineral spring is famous for its natural hot mineral water, which has healing and relaxing effects. This is an attractive resort, combining health therapy and beautiful natural scenery.",Tuyen Quang,0,1,0,0,0,0,0,1
Khuoi Nhi Waterfall,"Khuoi Nhi waterfall in Na Hang area is one of the most beautiful waterfalls in Tuyen Quang. White waterfall water falls from a great height, blending with majestic nature to create a poetic scene.",Tuyen Quang,0,0,0,0,0,0,0,1
Cu Lao An Binh,"Cu Lao An Binh is a typical horticultural area of ​​the Southwest region, famous for fruit orchards such as rambutan, durian, and mangosteen. Visitors can participate in canoeing, visit traditional craft villages and enjoy rustic cuisine.",Vinh Long,0,0,1,0,0,0,1,0
Tien Chau Pagoda,"Tien Chau Pagoda is located on An Binh island, is an ancient pagoda with bold Buddhist architecture. The temple has a quiet, peaceful space, attracting many Buddhists and tourists to worship.",Vinh Long,0,1,0,0,0,1,0,0
My Thuan Bridge,"My Thuan Bridge is a prominent symbol of the West, connecting Vinh Long and Tien Giang. This modern cable-stayed bridge is an ideal check-in point, especially at night with bright lights.",Vinh Long,0,0,0,1,0,0,0,0
Vinh Sang tourist area,"Vinh Sang tourist area is located on An Binh island, an ideal place to experience folk games, participate in crocodile fishing, canoeing, or explore fruit gardens.",Vinh Long,0,0,0,0,0,0,0,0
Van Thanh Temple,"Van Thanh Temple is an ancient building, meaning to honor Confucianism and talented people. The temple grounds have many trees, creating a quiet and peaceful space.",Vinh Long,0,1,0,0,0,1,0,0
Tam Dao,"Tam Dao is a famous resort with a cool climate all year round, located on the Tam Dao mountain range. It has many attractions such as the TV Tower, Stone Church, and Tam Dao night market. Guests can enjoy beautiful mountain views and local cuisine.",Vinh Phuc,0,1,0,1,1,0,1,0
Ho Dai Lai,"Dai Lai Lake is a large artificial lake, surrounded by pine forests and mountains. This is an ideal destination to participate in activities such as boating, camping, fishing or relaxing at lakeside resorts.",Vinh Phuc,0,1,0,0,1,0,0,1
Huong Canh Pottery Village,"Huong Canh Pottery Village is a traditional craft village famous for its sophisticated handmade ceramic products, especially household and artistic ceramic products. Visitors can visit and experience pottery making here.",Vinh Phuc,0,0,1,0,0,0,0,0
FLC Vinh Thinh tourist area,"FLC Vinh Thinh is a high-class resort with luxurious and comfortable space. It has diverse services such as swimming pools, spas, golf courses, and restaurants, suitable for family vacations.",Vinh Phuc,0,1,0,0,0,0,1,0
Dam Vac eco-tourism area,"Dam Vac is one of the largest natural lagoons in Vinh Phuc, with a diverse ecosystem. Visitors can participate in activities such as boating, sightseeing, fishing, or rest at resorts along the lagoon.",Vinh Phuc,0,1,0,0,0,0,0,1
Mu Cang Chai terraced fields,"Mu Cang Chai stairs are a masterpiece of nature and labor of the H'Mong ethnic people, famous for their majestic beauty, especially in the ripe rice season (September - October). This is a National Heritage and one of the most attractive destinations in Vietnam.",Yen Bai,0,0,0,0,0,0,0,0
Thac Ba Lake,"Thac Ba Lake is one of the largest artificial lakes in Vietnam, surrounded by hundreds of small islands and beautiful mountain landscapes. Visitors can participate in activities such as boating, camping, or exploring caves around the lake.",Yen Bai,1,0,0,1,1,0,0,1
Suoi Giang,"Suoi Giang is famous for its ancient Shan Tuyet tea trees hundreds of years old and its cool climate all year round. This is the ideal place to enjoy tea, enjoy fresh air and learn about the culture of the Mong people.",Yen Bai,0,0,0,0,0,1,0,0
Lim Mong village,"Lim Mong village is a small village located among beautiful mountains and terraced fields. This is where visitors can experience the life of the H'Mong people, enjoy peace and fresh air.",Yen Bai,0,0,1,1,1,0,0,0
Thien Cung Cave,"Thien Cung Cave is located in the Thac Ba Lake area, famous for its shimmering stalactite system and magical scenery inside the cave. This is an attractive attraction for those who love exploring caves.",Yen Bai,1,0,0,0,0,0,0,1
Buon Don,"Buon Don, located in Dak Lak province, Vietnam, is a land famous for its unique culture and majestic natural scenery. This is the land of the Ede and Mnong ethnic people, where you can discover unique cultures and interesting activities",Dak Lak,0,0,0,0,0,0,0,0
Lak Lake,"Lak Lake is a large lake in Vietnam, located in the northwest of Lam Dong province. This lake is known for its beautiful natural landscape and rich biodiversity. Lak Lake is also a destination that attracts tourists with activities such as scuba diving, fishing, and yachting",Dak Lak,1,0,0,0,0,0,0,1
Dray Nur Waterfall,"Dray Nur Waterfall, located in Dak Lak province, is one of the most beautiful and majestic waterfalls of the Central Highlands. This waterfall is located on the Serepok river, famous for its wild and mysterious beauty",Dak Lak,0,0,0,0,1,0,0,1
World Coffee Museum,"World Coffee Museum, located in Buon Ma Thuot, Dak Lak, is an attractive destination for those who love coffee and want to learn about global coffee culture.",Dak Lak,0,0,0,1,0,1,0,0
Ko Tam tourist area,"Ko Tam tourist area, located in Buon Ma Thuot, Dak Lak, is an outstanding ecological and cultural destination of the Central Highlands. With an area of ​​about 13 hectares, Ko Tam offers visitors a wild and peaceful natural space, along with the unique cultural features of the Ede ethnic people.",Dak Lak,0,1,0,0,1,0,0,0
Dak Nong Geopark,"Dak Nong Geopark is famous for its unique volcanic cave system, including nearly 50 caves with a total length of more than 10,000 meters. Dak Nong Geopark is not only a place to preserve geological values, but also a place to preserve and introduce the culture of indigenous ethnic groups such as the Ma, Mnong and Ede people.",Dak Nong,1,0,0,0,0,0,0,0
Dray Sap Waterfall,"Dray Sap Waterfall, also known as Smoke Waterfall, is one of the most beautiful and majestic waterfalls of the Central Highlands",Dak Nong,0,0,0,0,1,0,0,1
Chu Bluk Cave,"Chu Bluk Cave, located in Krong No district, Dak Nong province, is the longest volcanic cave system in Southeast Asia. Chu Bluk Cave stands out for its wild and mysterious beauty, with unique basalt structures and a rich ecosystem. This is an ideal destination for those who love exploration and adventure, because accessing the cave is not easy and requires guidance from local people.",Dak Nong,1,0,0,0,0,0,0,1
Ea Sno Lake,"Ea Sno Lake is surrounded by a rich and diverse plant ecosystem, and is home to many indigenous ethnic communities. The scenery here brings a feeling of peace and relaxation",Dak Nong,0,0,0,0,0,0,0,1
Nam Nung Nature Reserve,"The reserve is located in Dak Nong province, famous for its diverse ecosystem including primeval forests, majestic waterfalls and many rare flora and fauna species. This is an ideal location for nature exploration, trekking, and ecological research activities.",Dak Nong,1,0,0,0,0,0,0,1
Hill A1,"Hill A1 is one of the important historical relics in the Dien Bien Phu campaign, where fierce battles took place. Currently, this place has become a tourist attraction with a fighting bunker, a trench system and the preservation of many historical artifacts.",Dien Bien,0,0,0,0,1,1,0,0
De Castries Tunnel,This was the residence and command of General De Castries during the Dien Bien Phu campaign. The tunnel was built solidly and is now a historical relic preserved to recreate the battlefield of the past.,Dien Bien,0,0,0,0,0,1,0,0
Dien Bien Phu Victory Museum,"The museum preserves artifacts, documents and images of the Dien Bien Phu campaign, recreating the heroic history of the Vietnamese people. This is a destination not to be missed when visiting Dien Bien.",Dien Bien,0,0,0,1,0,1,0,0
Muong Thanh fields,"The largest rice field in the Northwest region, famous for its poetic beauty and important role in the history of the Dien Bien Phu campaign. The landscape here changes with the seasons, attracting many tourists to admire.",Dien Bien,0,0,0,0,0,1,0,1
Dien Bien Phu Victory Monument,"The monument is located on hill D1, a symbol of the historic victory of Dien Bien Phu. This is a place to honor the sacrifices and victories of Vietnamese soldiers, and is also a panoramic view of Dien Bien city.",Dien Bien,0,0,0,1,1,0,0,0
Cat Tien National Park,"One of the most famous national parks in Vietnam, located in Dong Nai province. This place possesses a rich ecosystem with many rare flora and fauna species, along with activities such as forest exploration, bird watching and picnics.",Dong Nai,1,0,0,0,0,0,0,1
Buu Long tourist area,"Considered a ""miniature Ha Long Bay"" in Dong Nai, Buu Long stands out with its clear blue lake, rocky mountains and poetic landscape. This is an ideal place for picnics, camping and photography.",Dong Nai,0,0,0,0,1,0,0,1
Tri An Lake,"Tri An Lake with over 70 large and small islands, many of which are inhabited, plus a few large islands that have been exploited for tourism in the past ten years have become the highlight of Tri An river and water.",Dong Nai,0,0,0,1,0,0,0,1
Eagle Island,"An island located in the middle of Tri An lake, possessing a green and fresh space. Eagle Island is an attractive destination for picnicking, camping, and enjoying nature.",Dong Nai,0,1,0,0,0,0,0,1
Giang Dien Waterfall,"A beautiful waterfall in Dong Nai, surrounded by cool green forests. Giang Dien Waterfall is an attractive eco-tourism destination for relaxation activities, picnics and commemorative photos.",Dong Nai,0,0,0,0,0,0,0,1
Tram Chim National Park,"National park in Dong Thap, which preserves the typical wetland ecosystem of the Mekong Delta. Tram Chim is home to many rare bird species, especially red-crowned cranes.",Dong Thap,1,0,0,0,0,0,0,1
Sa Dec flower village,"Famous traditional craft village in Dong Thap, where hundreds of beautiful and precious flower species are grown. The flower village attracts tourists with brilliant flower gardens all year round.",Dong Thap,0,0,1,0,0,0,0,0
Xeo Quyt relic site,"A historical relic combined with eco-tourism in Dong Thap, where revolutionary bases are recreated in the Melaleuca forest during the resistance war.",Dong Thap,0,0,0,0,0,1,0,1
Mausoleum of Nguyen Sinh Sac,"The resting place of Mr. Nguyen Sinh Sac, father of President Ho Chi Minh. The mausoleum is designed in harmony between architecture and natural landscape.",Dong Thap,0,0,0,0,0,0,0,1
Cao Lanh Market,"A bustling market in Cao Lanh city, where visitors can explore culinary culture and local people's lives.",Dong Thap,0,0,0,1,0,0,1,0
Tonle Sap Lake,"A bustling market in Cao Lanh city, where visitors can explore culinary culture and local people's lives.",Gia Lai,0,0,0,1,0,0,1,1
Phu Cuong Waterfall,"A beautiful waterfall in Gia Lai, located in the middle of a primeval forest. The waterfall stands out with its white water flowing from a height of more than 45m.",Gia Lai,0,0,0,0,0,0,0,1
Minh Thanh Pagoda,"Famous temple in Gia Lai, built in Japanese Buddhist style, with unique architecture and pure space.",Gia Lai,0,1,0,0,0,0,0,0
Great Solidarity Square,"The largest square in the Central Highlands, located in Pleiku, Gia Lai. This is where major events are held and is also a symbol of national unity.",Gia Lai,0,0,0,0,1,0,0,0
Bau Can tea hill,"Bau Can tea hill in Gia Lai is one of the oldest tea hills in Vietnam, outstanding with long green tea beds, bringing peaceful beauty. This is the ideal destination to relax and take photos amidst the fresh natural space.",Gia Lai,0,1,0,0,1,0,0,0
Lung Cu flagpole,"Lung Cu flagpole, located in the northernmost part of Vietnam (Ha Giang), is a sacred symbol of national sovereignty. Visitors conquer nearly 800 steps to admire the red flag with yellow star flying on the majestic mountain top.",Ha Giang,0,0,0,0,1,0,0,0
Ma Pi Leng Pass,"Ma Pi Leng Pass is a majestic road in Ha Giang, with the emerald Nho Que River winding below. This is an attraction for backpackers and tourists who love wild natural beauty.",Ha Giang,0,0,0,0,1,0,0,0
Dong Van ancient town,Dong Van ancient town (Ha Giang) preserves ancient architecture with houses with earthen walls and yin-yang tile roofs. The bustling weekend market is an attractive cultural highlight.,Ha Giang,0,0,1,1,0,1,1,0
Tu San Alley,"Tu San Alley, the deepest place in Southeast Asia, stands out with 800m high cliffs and the blue Nho Que river. Visitors can row boats to explore this magnificent scenery.",Ha Giang,0,0,0,0,0,0,0,0
Cat King's Palace,"King Meo Palace (Ha Giang) is an ancient mansion of the Vuong family, with a unique architectural combination of Chinese, French and H'Mong ethnic culture, attracting many tourists.",Ha Giang,0,0,0,0,0,1,0,0
Tam Chuc Pagoda,"Tam Chuc Pagoda (Ha Nam) is one of the largest pagoda complexes in Vietnam, standing out with its majestic architecture and beautiful natural landscape. Surrounded by mountains and clear blue lakes, this is a place that attracts Buddhists and tourists.",Ha Nam,0,1,0,0,1,0,0,1
Tran Thuong Temple,"Tran Thuong Temple (Ha Nam) worships the Tran kings, standing out with its ancient architecture and pure space. The temple is a cultural and spiritual destination, attracting tourists during the festival season.",Ha Nam,0,1,0,0,0,1,0,0
Luon Cave,"Luon Cave, located in the Ha Long relic area, Quang Ninh, is famous for its magnificent cave system. Visitors can row boats into the cave and explore the wild beauty of nature.",Ha Nam,1,0,0,0,0,1,0,0
Lanh Giang Temple,"Lanh Giang Temple (Hung Yen) is a historical relic worshiping heroic kings, rich in cultural and historical value. This is a prominent spiritual tourist destination in the North.",Ha Nam,0,1,0,0,0,1,0,0
Vu Dai Village,"Vu Dai village (Ha Nam) is famous for its association with the work ""Chi Pheo"" by writer Nam Cao. This place has ancient houses, is a cultural tourist destination, where traditional cultural beauty is preserved.",Ha Nam,0,0,1,0,0,1,0,0
Ho Chi Minh Mausoleum,"President Ho Chi Minh Mausoleum (Hanoi) is where the body of President Ho Chi Minh is kept, becoming a symbol of respect and gratitude of the Vietnamese people.",Hanoi,0,0,0,0,0,0,0,0
Sword Lake,"Sword Lake (Hanoi) is the center of the capital, notable for its Turtle Tower and The Huc Bridge. This is an attractive tourist destination, where people relax and is a symbol of Hanoi.",Hanoi,0,0,0,1,0,0,0,1
Temple of Literature - National Tu Giam,"Temple of Literature - Quoc Tu Giam (Hanoi) is a historical and cultural relic, a place of worship for Confucius and the first university in Vietnam. This is an educational and cultural attraction.",Hanoi,0,1,0,0,0,1,0,0
Imperial Citadel of Thang Long,"The Imperial Citadel of Thang Long (Hanoi) is an important historical site in Vietnam, once the center of power for many dynasties. This relic bears a strong mark of national history and culture.",Hanoi,0,0,0,0,0,1,0,0
Long Bien Bridge,"Long Bien Bridge (Hanoi) is one of the oldest bridges, imbued with historical value. The bridge connects the two banks of the Red River and is a symbol of the capital.",Hanoi,0,0,0,1,0,0,0,0
Dong Loc intersection,Dong Loc intersection (Ha Tinh) is a famous historical site associated with the resistance war against the US. This is a place to commemorate the martyrs who died in the war.,Ha Tinh,0,0,0,0,0,1,0,0
Huong Tich Pagoda,Dong Loc intersection (Ha Tinh) is a famous historical site associated with the resistance war against the US. This is a place to commemorate the martyrs who died in the war.,Ha Tinh,0,1,0,0,0,1,0,0
Thien Cam Beach,"Thien Cam Beach (Ha Tinh) is a beautiful beach with long sandy beaches and clear blue sea water, where visitors can relax and participate in marine sports activities.",Ha Tinh,0,1,0,0,0,0,0,0
Nguyen Du relic site,"Nguyen Du relic site (Ha Tinh) is a place to commemorate the great poet Nguyen Du, author of ""The Tale of Kieu"". This monument preserves the cultural and historical values ​​of his life and career.",Ha Tinh,0,0,0,0,0,1,0,0
Ngang Pass,"Ngang Pass (Quang Binh) is one of the most beautiful passes in Vietnam, connecting the two provinces of Quang Binh and Ha Tinh. The pass has majestic and poetic scenery.",Ha Tinh,0,0,0,0,1,0,0,0
Chi Lang Nam Stork Island,"Chi Lang Nam Stork Island (Hai Duong) is an outstanding nature reserve area with thousands of storks living. This is an ideal eco-tourism destination, with a peaceful space and beautiful landscape.",Hai Duong,0,1,0,0,0,0,0,1
Con Son Pagoda,"Con Son Pagoda (Hai Duong) is a historical and cultural relic, outstanding with ancient architecture and pure space. This place is one of the famous spiritual tourist destinations in the North.",Hai Duong,0,1,0,0,0,1,0,0
Qinghai Water Puppet Village,Thanh Hai Water Puppet Village (Hai Duong) is a place to preserve and develop traditional water puppetry art. Visitors can enjoy unique puppet shows in a rich folk culture space.,Hai Duong,0,1,1,0,0,0,0,0
